# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,band,band_f,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
120,0.02719736052763563,0.035607719142527056,0.0,0.0,0.8487027534160488,0.8893617155412347,0.8141964629638125,0.20982465540516249,0.0,31,bravais,large,0.1,0.1,0.09521029959810122,0.07933919867452194,0.005070570413360204,nan
108,8.671498061472891e-07,0.0011725176605201532,0.046296296296296294,0.018518518518518517,0.050865228268122314,0.2481907968781743,0.009604280546496827,0.6694943568192683,0.0,32,foam,medium,0.5,0.1,0.1374257816388787,5.5615396639209676e-11,4.354877569667792e-12,nan
108,0.009589851667134233,0.011478849205466712,0.0,0.0,0.5112566982407872,0.5254717637904563,0.597071320983798,0.9375790805866905,0.0,33,tiling,small,0.9,0.1,0.203243571228613,1.5037110464085596e-12,2.024491685403973e-13,nan
64,0.06331613530825002,0.07651426434246913,0.0,0.0,0.6604259041200864,0.6880935827806859,0.5617761997064231,0.9956338970325114,0.0,34,auxetic,none,0.99,0.1,0.20473126595088997,8.096840334268489e-13,4.5352610555937645e-14,nan
60,0.06716199676795957,0.08639588851746807,0.0,0.0,0.9927710025038404,0.9930314120139845,0.9963635724047865,0.11307497191060692,0.0,35,bravais,soft,0.0,0.2,0.199992974256858,3.2190079367391546e-13,2.603472992745992e-14,nan
122,0.00017014130031875116,0.003305036965194478,0.01639344262295082,0.0,0.15075761781403987,0.23921817165749165,0.018595428859279603,0.5709265776909437,0.0,36,foam,large,0.1,0.2,0.1959599053226728,0.05899987024783794,0.00405660830167992,nan
72,0.22092698654303733,0.2445077508195091,0.0,0.0,0.9725047105660625,0.9773981550544626,0.8440416760594793,0.6632506760589649,0.0,37,bravais,medium,0.5,0.2,0.28714031907690274,0.001627844543918849,0.00011551371154727708,nan
110,5.6134442761228947e-08,0.0009171497952485547,0.05454545454545454,0.05454545454545454,0.010508997957880446,0.1404785522533804,0.0015993665645707086,0.9413826092973906,0.0,38,foam,small,0.9,0.2,0.23658023487550495,0.020015425626560147,0.00018203867657218264,nan
82,0.03119449934397311,0.0830199032639714,0.0,0.0,0.654890643246147,0.7823258297436791,0.6436921723451317,0.9953006799549472,0.0,39,foam,none,0.99,0.2,0.2986369762310521,0.005511237503324004,0.00011531416190430077,nan
120,0.020259013252835623,0.05486982070350969,0.0,0.0,0.6170253833894869,0.7098571137279717,0.4116269832046276,0.2954276266332333,0.0,40,bravais,soft,0.0,0.3,0.3000149492131759,7.651719135020432e-13,4.007905118896815e-14,nan
72,0.09176794892037286,0.11058391451025625,0.0,0.0,0.8651936572368447,0.8652329253001516,0.9977725213516822,0.576908944408927,0.0,41,tiling,large,0.1,0.3,0.30045009466551176,0.006016335674197184,0.0004455470228805214,nan
60,0.030372239637538104,0.11411513009360116,0.0,0.0,0.6365751771661711,0.7528264277534525,0.507860971966883,0.7297242283927095,0.0,42,bravais,medium,0.5,0.3,0.298294958325114,6.092397234770569e-13,4.829470157119431e-14,nan
120,0.24189153358729432,0.27636441570512454,0.0,0.0,0.9122523167807142,0.9325435827708177,0.8208607321018552,0.9539086299141035,0.0,43,bravais,small,0.9,0.3,0.3279413794454846,2.393446482831445e-13,2.4868995751603507e-14,nan
116,0.05503357248504395,0.09410546225748151,0.0,0.0,0.7159915628311314,0.7721242346692672,0.5219140743060235,0.9949982718716172,0.0,44,foam,none,0.99,0.3,0.300829985118101,2.139347227508948e-13,1.2101430968414206e-14,nan
120,0.035578618307563176,0.049923112723590624,0.0,0.0,0.9539550154289915,0.9571773570628129,0.9718479864103323,0.060495145903753676,0.0,45,bravais,soft,0.0,0.4,0.3999784151083716,2.1854117629185929e-13,2.1316282072803006e-14,nan
129,0.005349709391686359,0.007061326564008994,0.0,0.0,0.48372827556450226,0.4928689662183097,0.47982361132903895,0.2317533921756064,0.0,46,auxetic,large,0.1,0.4,0.40727724344352134,0.19827827659815012,0.007246934326014254,nan
100,0.0013958494352223163,0.01885519163223977,0.0,0.0,0.30508204405501804,0.5462282339581687,0.4300155658300631,0.6896116118075529,0.0,47,flipped,medium,0.5,0.4,0.36003125570440636,5.833820692686374e-13,1.3100631690576847e-14,nan
90,0.04468439433747572,0.09019573862553971,0.0,0.0,0.696750429776522,0.7855533477119923,0.3289908406098177,0.9527229334522826,0.0,48,foam,small,0.9,0.4,0.331168867248838,1.2899353688548231e-13,2.7755575615628914e-15,nan
104,2.101363099424293e-10,0.022763721098740277,0.019230769230769232,0.019230769230769232,0.006306122709608272,0.6127517287602543,0.009048647046736517,0.9962785265552054,0.0,49,flipped,none,0.99,0.4,0.30050802796641723,0.05128522004366663,0.006085504266117259,nan
96,0.022355026438632644,0.0633013512863136,0.0,0.0,0.6642448331333961,0.7683531932492613,0.5888833308081772,0.220863197475218,0.0,50,foam,soft,0.0,0.45,0.4499918755148782,3.6718487127445303e-13,1.509903313490213e-14,nan
120,0.019240300935243936,0.051129036826716746,0.0,0.0,0.5339254107552373,0.5725597139499277,0.3671326076988925,0.27486122326175794,0.0,51,bravais,large,0.1,0.45,0.4499754171510809,7.035772540695613e-13,1.1268763699945339e-14,nan
104,7.57756520505934e-05,0.002741095321703663,0.019230769230769232,0.009615384615384616,0.07884581905278776,0.24428707599245855,0.042801076358891355,0.6749627003818979,0.0,52,foam,medium,0.5,0.45,0.39960323730999064,7.202344902297247e-12,5.503375533066901e-13,nan
