# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
129,0.00012352169676454618,0.0012081382655944777,0.03875968992248062,0.0,0.14804855617545892,0.2650388576849838,0.13896148621184692,1.0,0.0,73,reentrant_honeycomb,0.2,0.2100925477367377,0.20311794021242086,0.008779554054754779,0.037888118097740425
129,0.0005466503529748382,0.0016044720736839513,0.03875968992248062,0.0,0.15037371136778227,0.27924282122952016,0.10277236711027085,1.0,0.0,74,reentrant_honeycomb,0.3,0.29220655443231713,0.08731445815957516,0.00013560112278182546,0.012930278190135702
129,0.0006170970731344907,0.0028188639288152916,0.023255813953488372,0.0,0.16435864111618745,0.26822656056501154,0.14845512843538183,1.0,0.0,75,reentrant_honeycomb,0.4,0.283945162428579,0.16043378451512796,0.0024792871315274523,0.03454334598468273
129,0.00012931927049195235,0.0032344701281575433,0.023255813953488372,0.0,0.12766326592747604,0.28154912290023537,0.11569568144877602,1.0,0.0,76,reentrant_honeycomb,0.6,0.28499852483275884,0.15408510467363384,0.0031052574149378898,0.03367600418983746
129,0.0003957305862154105,0.0026385518220754982,0.023255813953488372,0.0,0.13999553447623747,0.2807290783889082,0.14476833132650707,1.0,0.0,77,reentrant_honeycomb,0.9,0.2844397115885878,0.15291845068570514,0.003986568498052345,0.034827684893306565
108,1.7421973474913298e-08,1.5308168350550422e-05,0.12037037037037036,0.09259259259259259,0.018189880763130033,0.08566293239752452,0.032813145965303145,1.0,0.0,78,foam_poisson,-0.95,-0.2690998764974631,0.23793185888279625,0.03919571444369557,0.061708021446204075
108,1.7421973474913298e-08,1.5308168350550422e-05,0.12037037037037036,0.09259259259259259,0.018189880763130033,0.08566293239752452,0.032813145965303145,1.0,0.0,79,foam_poisson,-0.75,-0.2690998764974631,0.23793185888279625,0.03919571444369557,0.061708021446204075
108,1.9318529155119252e-08,2.478722345821212e-06,0.12962962962962962,0.10185185185185185,0.018653119576123547,0.056765781035533,0.010091036959781889,1.0,0.0,80,foam_poisson,-0.5,-0.2733563030381076,0.2250116229504442,0.041532936570430834,0.06139123589933443
108,2.0104125929774444e-07,1.4212386079137226e-05,0.1388888888888889,0.08333333333333333,0.02250746179901539,0.08853714196709923,0.022303434270275244,1.0,0.0,81,foam_poisson,-0.3,-0.2163965874536799,0.42712311695671346,0.07329943708031467,0.08923897693097796
108,5.99511738850128e-07,0.0001456362012324419,0.08333333333333333,0.05555555555555555,0.045301990419826466,0.1708105003058248,0.06420039923982575,1.0,0.0,82,foam_poisson,-0.1,-0.09856609496848641,0.05969775870206035,0.0011325155329192788,0.006065720528166299
