i,after,rep,vs,ratio_to_baseline,secs
439,test_directional,38,2.204663e-13,0.138,0.35
440,test_directional,39,2.204663e-13,0.138,0.30
441,test_directional,40,2.204663e-13,0.138,0.28
442,test_directional,41,2.204663e-13,0.138,0.30
443,test_directional,42,2.204663e-13,0.138,0.30
444,test_directional,43,2.204663e-13,0.138,0.30
445,test_directional,44,2.204663e-13,0.138,0.29
446,test_directional,45,2.204663e-13,0.138,0.34
447,test_directional,46,2.204663e-13,0.138,0.32
448,test_directional,47,2.204663e-13,0.138,0.37
449,test_directional,48,2.204663e-13,0.138,0.43
450,test_directional,49,2.204663e-13,0.138,0.41
451,test_constrain_isotropic,0,2.204663e-13,0.138,0.35
452,test_constrain_isotropic,1,2.204663e-13,0.138,0.31
453,test_constrain_isotropic,2,2.204663e-13,0.138,0.30
454,test_constrain_isotropic,3,2.204663e-13,0.138,0.28
455,test_constrain_isotropic,4,2.204663e-13,0.138,0.28
456,test_constrain_isotropic,5,2.204663e-13,0.138,0.26
457,test_constrain_isotropic,6,2.204663e-13,0.138,0.28
458,test_constrain_isotropic,7,2.204663e-13,0.138,0.33
459,test_constrain_isotropic,8,2.204663e-13,0.138,0.38
460,test_constrain_isotropic,9,2.204663e-13,0.138,0.33
461,test_constrain_isotropic,10,2.204663e-13,0.138,0.33
462,test_constrain_isotropic,11,2.204663e-13,0.138,0.29
463,test_constrain_isotropic,12,2.204663e-13,0.138,0.27
464,test_constrain_isotropic,13,2.204663e-13,0.138,0.29
465,test_constrain_isotropic,14,2.204663e-13,0.138,0.32
466,test_constrain_isotropic,15,2.204663e-13,0.138,0.33
467,test_constrain_isotropic,16,2.204663e-13,0.138,0.30
468,test_constrain_isotropic,17,2.204663e-13,0.138,0.29
469,test_constrain_isotropic,18,2.204663e-13,0.138,0.28
470,test_constrain_isotropic,19,2.204663e-13,0.138,0.27
471,test_constrain_isotropic,20,2.204663e-13,0.138,0.27
472,test_constrain_isotropic,21,2.204663e-13,0.138,0.27
473,test_constrain_isotropic,22,2.204663e-13,0.138,0.27
474,test_constrain_isotropic,23,2.204663e-13,0.138,0.27
475,test_constrain_isotropic,24,2.204663e-13,0.138,0.28
476,test_constrain_isotropic,25,2.204663e-13,0.138,0.43
477,test_constrain_isotropic,26,2.204663e-13,0.138,0.29
478,test_constrain_isotropic,27,2.204663e-13,0.138,0.27
479,test_constrain_isotropic,28,2.204663e-13,0.138,0.42
480,test_constrain_isotropic,29,2.204663e-13,0.138,0.32
481,test_constrain_isotropic,30,2.204663e-13,0.138,0.33
482,test_constrain_isotropic,31,2.204663e-13,0.138,0.29
483,test_constrain_isotropic,32,2.204663e-13,0.138,0.34
484,test_constrain_isotropic,33,2.204663e-13,0.138,0.31
485,test_constrain_isotropic,34,2.204663e-13,0.138,0.31
486,test_constrain_isotropic,35,2.204663e-13,0.138,0.29
