run_id,topo_name,topo_class,n_nodes,n_bond,nu_target,band,band_f,nu_sim_initial,E_sim_initial,err_initial,nu_sim_konly,E_sim_konly,err_konly,nu_sim_full,E_sim_full,err_full,nu_solver_full,kmin_avg,solver_sim_gap,trustworthy,design_path,status,error
30,random_uniform_n51_s1006,foam,51,153,0.1,soft,0.0,0.27232001320841787,1.0324335708442263,0.17232001320841786,0.09997990468313124,1.0000000000101916,2.009531686876509e-05,0.10001352536400718,1.000000000010084,1.352536400717197e-05,0.1000135253638388,0.21288202176876508,2.1414806015503325e-11,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_30.npz,ok,
31,bravais_phi1.4_psi0.8_eta0.0_s0,bravais,60,180,0.1,large,0.1,0.3302655143247938,1.1556053704551168,0.23026551432479378,0.11741656440979323,0.9999999999999172,0.017416564409793223,0.10167035590531288,0.9999999999999508,0.0016703559053128786,0.10167035590534662,0.2056928173359584,4.987617634343533e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_31.npz,ok,
32,random_uniform_n54_s1002,foam,54,162,0.1,medium,0.5,0.2619941166169495,1.0606454057213632,0.16199411661694949,0.15656673869425267,1.0000000000058344,0.05656673869425266,0.12889705163793022,0.99893745575333,0.028897051637930216,0.1271030323881934,0.6768083938645013,0.03182387568746293,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_32.npz,ok,
33,tiling_kagome_r3,tiling,54,162,0.1,small,0.9,0.2380925614720717,1.1161430486125512,0.1380925614720717,0.22965826297152891,1.0000000000001712,0.1296582629715289,0.19909378177568482,1.0000000000003537,0.09909378177568481,0.19909378177544715,0.9369308605837097,1.815254101340209e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_33.npz,ok,
34,auxetic_rotating_squares_t15.0_r4,auxetic,32,100,0.1,none,0.99,0.2686331857316152,1.1380249280888837,0.1686331857316152,0.26764510857143997,1.1398240513662157,0.16764510857143997,0.23997443591626189,1.1575256548784842,0.13997443591626188,0.2239797297030724,0.9948132054207562,0.35263019499078646,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_34.npz,ok,
35,bravais_phi0.8_psi1.0_eta0.0_s0,bravais,30,90,0.2,soft,0.0,0.331989764800153,1.1538738528591046,0.131989764800153,0.2000298259260394,0.9999999999999216,2.9825926039395156e-05,0.19999297425685816,0.9999999999999226,7.025743141847451e-06,0.19999297425688395,0.11307497191060696,3.220366917998814e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_35.npz,ok,
36,random_graded_n61_s1003,foam,61,183,0.2,large,0.1,0.2593511549184823,1.0679158352922593,0.05935115491848231,0.19688428434398225,1.0055339481696457,0.003115715656017759,0.1959599053226728,1.0080221447104074,0.004040094677327216,0.20001651362435272,0.5709265776909437,0.05899987024783794,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_36.npz,ok,
37,bravais_phi1.0_psi1.0_eta0.0_s0,bravais,36,108,0.2,medium,0.5,0.3333333333333094,1.1547005383791658,0.13333333333330938,0.30925735289146383,1.0006873123641111,0.10925735289146382,0.28714014736688365,1.0002453130356364,0.08714014736688364,0.28725564552101523,0.663249744717429,0.001628992275686855,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_37.npz,ok,
38,random_graded_n55_s1011,foam,55,165,0.2,small,0.9,0.2691139755223177,1.0789849683876052,0.06911397552231768,0.259266791621808,1.0000000000130875,0.05926679162180798,0.23658023487550495,1.002128445269677,0.036580234875504936,0.23676227355207713,0.9413826092973906,0.020015425626560147,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_38.npz,ok,
39,random_poisson_disk_n41_s1040,foam,41,123,0.2,none,0.99,0.3101300147337909,1.145554066585877,0.11013001473379092,0.3098988822309094,0.9999999999999963,0.10989888223090938,0.2979105753719612,1.000000000000022,0.09791057537196118,0.2983321041377726,0.9954235463794828,0.0030494127207456377,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_39.npz,ok,
40,bravais_phi1.2_psi0.8_eta0.2_s1,bravais,60,180,0.3,soft,0.0,0.29494800629729756,1.095631551775751,0.005051993702702429,0.299973286828758,1.000000000000251,2.6713171241976585e-05,0.3000149492131759,1.000000000000252,1.4949213175907694e-05,0.3000149492131358,0.2954276266332333,7.651719135020432e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_40.npz,ok,
